Code,Descriptor,Year Level,Learning Area,Subject,Strand,Sub-strand,Category,Linked Achievement IDs
AC9M4A01,"find unknown values in numerical equations involving addition and subtraction, using the properties of numbers and operations",Year 4,Mathematics,Mathematics,Measurement and Geometry,,,Y4-AS-09
AC9M4A02,recall and demonstrate proficiency with multiplication facts up to 10 x 10 and related division facts; extend and apply facts to develop efficient mental strategies for computation with larger numbers without a calculator,Year 4,Mathematics,Mathematics,Measurement and Geometry,,,Y4-AS-19
AC9M4M01,"interpret unmarked and partial units when measuring and comparing attributes of length, mass, capacity, duration and temperature, using scaled and digital instruments and appropriate units",Year 4,Mathematics,Mathematics,Measurement and Geometry,,,Y4-AS-16
AC9M4M02,"recognise ways of measuring and approximating the perimeter and area of shapes and enclosed spaces, using appropriate formal and informal units",Year 4,Mathematics,Mathematics,Measurement and Geometry,,,Y4-AS-11
AC9M4M03,solve problems involving the duration of time including situations involving “am” and “pm” and conversions between units of time,Year 4,Mathematics,Mathematics,Measurement and Geometry,,,Y4-AS-05
AC9M4M04,"estimate and compare angles using angle names including acute, obtuse, straight angle, reflex and revolution, and recognise their relationship to a right angle",Year 4,Mathematics,Mathematics,Measurement and Geometry,,,Y4-AS-03
AC9M4N01,recognise and extend the application of place value to tenths and hundredths and use the conventions of decimal notation to name and represent decimals,Year 4,Mathematics,Mathematics,Number and Algebra,,,"Y4-AS-01, Y4-AS-13"
AC9M4N02,explain and use the properties of odd and even numbers,Year 4,Mathematics,Mathematics,Number and Algebra,,,Y4-AS-18
AC9M4N03,find equivalent representations of fractions using related denominators and make connections between fractions and decimal notation,Year 4,Mathematics,Mathematics,Number and Algebra,,,Y4-AS-13
AC9M4N04,count by fractions including mixed numerals; locate and represent these fractions as numbers on number lines,Year 4,Mathematics,Mathematics,Number and Algebra,,,Y4-AS-06
AC9M4N05,"solve problems involving multiplying or dividing natural numbers by multiples and powers of 10 without a calculator, using the multiplicative relationship between the place value of digits",Year 4,Mathematics,Mathematics,Number and Algebra,,,Y4-AS-01
AC9M4N06,"develop efficient strategies and use appropriate digital tools for solving problems involving addition and subtraction, and multiplication and division where there is no remainder",Year 4,Mathematics,Mathematics,Number and Algebra,,,"Y4-AS-15, Y4-AS-19"
AC9M4N07,choose and use estimation and rounding to check and explain the reasonableness of calculations including the results of financial transactions,Year 4,Mathematics,Mathematics,Number and Algebra,,,Y4-AS-02
AC9M4N08,"use mathematical modelling to solve practical problems involving additive and multiplicative situations including financial contexts; formulate the problems using number sentences and choose efficient calculation strategies, using digital tools where appropriate; interpret and communicate solutions in terms of the situation",Year 4,Mathematics,Mathematics,Number and Algebra,,,"Y4-AS-15, Y4-AS-19"
AC9M4P01,describe possible everyday events and the possible outcomes of chance experiments and order outcomes or events based on their likelihood of occurring; identify independent or dependent events,Year 4,Mathematics,Mathematics,Measurement and Geometry,,,Y4-AS-12
AC9M4P02,conduct repeated chance experiments to observe relationships between outcomes; identify and describe the variation in results.,Year 4,Mathematics,Mathematics,Measurement and Geometry,,,Y4-AS-04
AC9M4SP01,"represent and approximate composite shapes and objects in the environment, using combinations of familiar shapes and objects",Year 4,Mathematics,Mathematics,Measurement and Geometry,,,Y4-AS-14
AC9M4SP02,create and interpret grid reference systems using grid references and directions to locate and describe positions and pathways,Year 4,Mathematics,Mathematics,Measurement and Geometry,,,Y4-AS-07
AC9M4SP03,"recognise line and rotational symmetry of shapes and create symmetrical patterns and pictures, using dynamic geometric software where appropriate",Year 4,Mathematics,Mathematics,Measurement and Geometry,,,Y4-AS-10
AC9M4ST01,"acquire data for categorical and discrete numerical variables to address a question of interest or purpose, using digital tools; represent data using many-to-one pictographs, column graphs and other displays or visualisations; interpret and discuss the information that has been created",Year 4,Mathematics,Mathematics,Measurement and Geometry,,,"Y4-AS-08, Y4-AS-17"
AC9M4ST02,"analyse the effectiveness of different displays or visualisations in illustrating and comparing data distributions, then discuss the shape of distributions and the variation in the data",Year 4,Mathematics,Mathematics,Measurement and Geometry,,,Y4-AS-08
AC9M4ST03,"conduct statistical investigations, collecting data through survey responses and other methods; record and display data using digital tools; interpret the data and communicate the results",Year 4,Mathematics,Mathematics,Measurement and Geometry,,,Y4-AS-17
AC9M5A01,recognise and explain the connection between multiplication and division as inverse operations and use this to develop families of number facts,Year 5,Mathematics,Mathematics,Measurement and Geometry,,,"Y5-AS-02, Y5-AS-19"
AC9M5A02,find unknown values in numerical equations involving multiplication and division using the properties of numbers and operations,Year 5,Mathematics,Mathematics,Measurement and Geometry,,,Y5-AS-02
AC9M5M02,solve practical problems involving the perimeter and area of regular and irregular shapes using appropriate metric units,Year 5,Mathematics,Mathematics,Measurement and Geometry,,,Y5-AS-04
AC9M5M03,compare 12- and 24-hour time systems and solve practical problems involving the conversion between them,Year 5,Mathematics,Mathematics,Measurement and Geometry,,,Y5-AS-07
